,file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes
23,ocas2_up_04.avi,Gecko,ocas2,592,100,FR,171,325,248,"(530, 204)","(530, 224)",1.44,0,-13.889,has HR on forceplate when lifting FR and climbs at an angle
24,ocas2_up_08.avi,Gecko,ocas2,408,100,HL,150,346,248,"(528, 202)","(533, 210)",1.43,-3.497,-5.594,
25,ocas3_up_01.avi,Gecko,ocas3,331,100,FL,26,145,86,"(527, 204)","(510, 188)",1.46,11.644,10.959,has some toes of HL on forceplate when lifting FL
26,ocas3_up_02.avi,Gecko,ocas3,829,100,FL,364,513,438,"(531, 203)","(546, 202)",1.44,-10.417,0.694,has HR on forceplate when lifting FR
27,ocas4_down_04.avi,Gecko,ocas4,484,100,FR,82,285,184,"(528, 206)","(518, 214)",1.4,7.143,-5.714,
28,ocas4_up_01.avi,Gecko,ocas4,510,100,FR,71,397,234,"(526, 206)","(517, 189)",1.44,6.25,11.806,"paused on forceplate, has HR on forceplate when lifting FR"
29,ocas4_up_02.avi,Gecko,ocas4,678,100,HL,189,604,396,"(527, 204)","(533, 218)",1.39,-4.317,-10.072,
30,ocas4_up_03.avi,Gecko,ocas4,387,100,FL,38,170,104,"(527, 204)","(502, 188)",1.45,17.241,11.034,
31,ocas4_up_05.avi,Gecko,ocas4,558,100,FR,39,228,134,"(527, 203)","(536, 191)",1.4,-6.429,8.571,has HR on forceplate when lifting FR
32,ocas4_up_05.avi,Gecko,ocas4,558,100,HR,200,502,351,"(527, 204)","(512, 197)",1.41,10.638,4.965,
33,ocas5_down_10.avi,Gecko,ocas5,637,100,HL,63,267,165,"(532, 193)","(513, 182)",1.51,12.583,7.285,
34,ocas5_down_13.avi,Gecko,ocas5,649,100,,,,,"(nan, nan)","(nan, nan)",,,,
35,ocas5_up_10.avi,Gecko,ocas5,401,100,HR,196,280,238,"(534, 205)","(543, 209)",1.47,-6.122,-2.721,
36,ocas5_up_12.avi,Gecko,ocas5,449,100,HL,220,330,275,"(534, 196)","(545, 213)",1.37,-8.029,-12.409,
37,ocas5_up_14.avi,Gecko,ocas5,334,100,FL,33,207,120,"(534, 202)","(523, 216)",1.42,7.746,-9.859,
38,ocas6_down_07.avi,Gecko,ocas6,344,100,,,,,"(nan, nan)","(nan, nan)",,,,
39,ocas6_down_10.avi,Gecko,ocas6,751,100,,,,,"(nan, nan)","(nan, nan)",,,,
40,ocas6_down_12.avi,Gecko,ocas6,381,100,HR,255,320,288,"(534, 202)","(503, 183)",1.45,21.379,13.103,
41,ocas6_down_13.avi,Gecko,ocas6,337,100,,,,,"(nan, nan)","(nan, nan)",,,,
42,ocas6_up_08.avi,Gecko,ocas6,427,100,,,,,"(nan, nan)","(nan, nan)",,,,
43,ocas6_up_09.avi,Gecko,ocas6,641,100,,,,,"(nan, nan)","(nan, nan)",,,,
44,ocas6_up_11.avi,Gecko,ocas6,309,100,HL,111,247,179,"(533, 201)","(522, 191)",1.42,7.746,7.042,
45,ocas7_down_13.avi,Gecko,ocas7,645,100,FR,212,335,274,"(529, 203)","(505, 203)",1.38,17.391,0,
46,ocas7_down_13.avi,Gecko,ocas7,645,100,HR,496,588,542,"(527, 206)","(527, 198)",1.42,0,5.634,
47,ocas7_down_14.avi,Gecko,ocas7,463,100,HL,152,393,272,"(528, 204)","(535, 204)",1.42,-4.93,0,
48,ocas7_up_11.avi,Gecko,ocas7,428,100,FL,132,188,160,"(526, 207)","(517, 202)",1.46,6.164,3.425,
49,ocas7_up_12.avi,Gecko,ocas7,794,100,FR,158,365,262,"(526, 206)","(497, 223)",1.48,19.595,-11.486,
50,ocas8_down_08.avi,Gecko,ocas8,541,100,,,,,"(nan, nan)","(nan, nan)",,,,
51,ocas8_down_10.avi,Gecko,ocas8,440,100,,,,,"(nan, nan)","(nan, nan)",,,,
52,ocas8_down_13.avi,Gecko,ocas8,301,100,,,,,"(nan, nan)","(nan, nan)",,,,
53,ocas8_down_14.avi,Gecko,ocas8,480,100,,,,,"(nan, nan)","(nan, nan)",,,,
54,ocas8_up_09.avi,Gecko,ocas8,797,100,FL,294,478,386,"(534, 206)","(520, 214)",1.45,9.655,-5.517,
55,ocas8_up_11.avi,Gecko,ocas8,552,100,FL,77,259,168,"(534, 208)","(532, 233)",1.41,1.418,-17.73,has HL on forceplate when lifting FL
56,ocas8_up_12.avi,Gecko,ocas8,449,100,FL,40,278,159,"(534, 207)","(535, 221)",1.37,-0.73,-10.219,
57,ocas8_up_15.avi,Gecko,ocas8,681,100,,,,,"(nan, nan)","(nan, nan)",,,,
58,ocas8_up_16.avi,Gecko,ocas8,1884,100,FR,1299,1756,1528,"(533, 204)","(534, 219)",1.44,-0.694,-10.417,
59,ocas8_up_17.avi,Gecko,ocas8,144,100,FR,37,50,44,"(527, 204)","(539, 234)",1.41,-8.511,-21.277,
60,ocas8_up_17.avi,Gecko,ocas8,144,100,HR,49,60,54,"(524, 204)","(498, 229)",1.54,16.883,-16.234,
61,ocas9_down_09.avi,Gecko,ocas9,411,100,HL,123,180,152,"(533, 206)","(504, 211)",1.42,20.423,-3.521,not all toes on forceplate
62,ocas9_down_12.avi,Gecko,ocas9,476,100,FR,190,299,244,"(533, 206)","(552, 215)",1.35,-14.074,-6.667,
63,ocas9_down_12.avi,Gecko,ocas9,476,100,HR,347,385,366,"(532, 206)","(547, 213)",1.39,-10.791,-5.036,
64,ocas9_down_13.avi,Gecko,ocas9,439,100,FL,114,166,140,"(534, 204)","(507, 217)",1.46,18.493,-8.904,
65,ocas9_up_08.avi,Gecko,ocas9,190,100,FL,53,102,78,"(532, 204)","(534, 211)",1.39,-1.439,-5.036,
66,ocas9_up_10.avi,Gecko,ocas9,964,100,,,,,"(nan, nan)","(nan, nan)",,,,
67,ocas9_up_11.avi,Gecko,ocas9,405,100,HR,85,299,192,"(533, 206)","(520, 195)",1.45,8.966,7.586,
68,ocas9_up_14.avi,Gecko,ocas9,589,100,HR,453,500,476,"(532, 206)","(541, 196)",1.42,-6.338,7.042,
69,Ocog7_down_14.avi,Gecko,Ocog7,463,100,HR,287,407,347,"(532, 192)","(513, 214)",1.44,13.194,-15.278,
70,Ocog7_down_16.avi,Gecko,Ocog7,518,100,,,,,"(nan, nan)","(nan, nan)",,,,
71,Ocog7_down_17.avi,Gecko,Ocog7,249,100,HR,102,169,136,"(533, 190)","(546, 170)",1.39,-9.353,14.388,
72,Ocog7_down_19.avi,Gecko,Ocog7,324,100,HR,87,191,139,"(532, 190)","(545, 185)",1.38,-9.42,3.623,
73,Ocog7_down_20.avi,Gecko,Ocog7,325,100,FR,65,110,88,"(534, 190)","(525, 169)",1.38,6.522,15.217,
74,Ocog7_down_20.avi,Gecko,Ocog7,325,100,HR,162,279,220,"(534, 190)","(513, 193)",1.37,15.328,-2.19,paused HR on forceplate
75,Ocog7_up_13.avi,Gecko,Ocog7,390,100,HL,222,300,261,"(532, 192)","(541, 180)",1.47,-6.122,8.163,
76,ocog7_up_15.avi,Gecko,ocog7,350,100,FL,63,113,88,"(534, 190)","(534, 202)",1.44,0,-8.333,
77,Ocog7_up_18.avi,Gecko,Ocog7,505,100,FL,68,166,117,"(531, 192)","(535, 168)",1.56,-2.564,15.385,
78,ocog9_up_07.avi,Gecko,ocog9,562,100,HL,179,365,272,"(534, 191)","(529, 190)",1.46,3.425,0.685,
79,ocog9_up_08.avi,Gecko,ocog9,380,100,FL,49,163,106,"(532, 192)","(542, 209)",1.44,-6.944,-11.806,
80,ocog9_up_08.avi,Gecko,ocog9,380,100,HL,144,285,214,"(534, 190)","(511, 193)",1.46,15.753,-2.055,
81,ocog9_up_6.avi,Gecko,ocog9,587,100,FR,164,410,287,"(532, 188)","(536, 198)",1.48,-2.703,-6.757,paused on forceplate
82,ofil1_down_03.avi,Gecko,ofil1,199,100,FL,23,57,40,"(623, 192)","(670, 226)",2.83,-16.608,-12.014,
83,ofil1_down_04.avi,Gecko,ofil1,411,100,,,,,"(nan, nan)","(nan, nan)",,,,
84,ofil1_up_01.avi,Gecko,ofil1,658,100,FL,151,381,266,"(622, 190)","(592, 249)",2.79,10.753,-21.147,very unsecure
85,ofil1_up_02.avi,Gecko,ofil1,1147,100,FL,149,458,304,"(624, 192)","(580, 196)",2.85,15.439,-1.404,
86,ofil1_up_02.avi,Gecko,ofil1,1147,100,HL,711,871,791,"(624, 191)","(589, 154)",2.81,12.456,13.167,
87,omon10_down_03.avi,Gecko,omon10,827,100,,,,,"(nan, nan)","(nan, nan)",,,,
88,omon10_up_01.avi,Gecko,omon10,311,100,FL,96,139,118,"(532, 197)","(542, 219)",1.47,-6.803,-14.966,
89,omon10_up_01.avi,Gecko,omon10,311,100,HL,130,220,175,"(533, 194)","(505, 217)",1.43,19.58,-16.084,
90,omon10_up_02.avi,Gecko,omon10,458,100,FL,187,256,222,"(532, 196)","(512, 221)",1.42,14.085,-17.606,
91,omon10_up_04.avi,Gecko,omon10,425,100,FR,42,170,106,"(533, 192)","(555, 181)",1.53,-14.379,7.19,
92,omon10_up_04.avi,Gecko,omon10,425,100,HR,161,250,206,"(531, 194)","(520, 202)",1.47,7.483,-5.442,
93,omon11_down_02.avi,Gecko,omon11,153,100,HL,74,91,82,"(532, 195)","(509, 218)",1.39,16.547,-16.547,
94,omon11_down_03.avi,Gecko,omon11,145,100,HL,50,71,60,"(533, 194)","(504, 176)",1.43,20.28,12.587,
95,omon11_down_05.avi,Gecko,omon11,705,100,,,,,"(nan, nan)","(nan, nan)",,,,paused on forceplate for long
96,omon11_down_07.avi,Gecko,omon11,311,100,HR,115,149,132,"(532, 196)","(532, 182)",1.4,0,10,
97,omon11_down_08.avi,Gecko,omon11,311,100,HR,124,154,139,"(532, 197)","(507, 211)",1.42,17.606,-9.859,
98,omon11_down_09.avi,Gecko,omon11,181,100,FR,54,81,68,"(534, 195)","(534, 216)",1.39,0,-15.108,
99,omon11_up_01.avi,Gecko,omon11,113,100,FR,40,55,48,"(526, 185)","(528, 203)",1.77,-1.13,-10.169,
100,omon11_up_04.avi,Gecko,omon11,178,100,FL,64,85,74,"(532, 196)","(530, 177)",1.48,1.351,12.838,
101,omon11_up_05.avi,Gecko,omon11,493,100,FL,281,335,308,"(533, 194)","(532, 176)",1.36,0.735,13.235,
102,omon11_up_06.avi,Gecko,omon11,316,100,HR,139,176,158,"(532, 194)","(548, 204)",1.47,-10.884,-6.803,
103,omon1_down_05.avi,Gecko,omon1,414,100,FL,149,244,196,"(532, 200)","(527, 202)",1.5,3.333,-1.333,
104,omon1_down_07.avi,Gecko,omon1,558,100,FL,50,351,200,"(531, 203)","(521, 204)",1.46,6.849,-0.685,
105,omon1_down_07.avi,Gecko,omon1,558,100,HL,390,491,440,"(531, 202)","(509, 184)",1.44,15.278,12.5,
106,omon1_down_09.avi,Gecko,omon1,378,100,HL,30,73,52,"(532, 202)","(535, 186)",1.54,-1.948,10.39,
107,omon1_up_04.avi,Gecko,omon1,331,100,HL,158,225,192,"(532, 202)","(516, 202)",1.4,11.429,0,on edge
108,omon1_up_06.avi,Gecko,omon1,643,100,HL,109,482,296,"(533, 202)","(511, 192)",1.42,15.493,7.042,
109,omon1_up_08.avi,Gecko,omon1,829,100,FR,248,588,418,"(532, 202)","(505, 200)",1.44,18.75,1.389,
110,omon1_up_10.avi,Gecko,omon1,342,100,HR,134,194,164,"(532, 204)","(543, 225)",1.48,-7.432,-14.189,
111,omon2_down_03.avi,Gecko,omon2,234,100,FL,53,79,66,"(532, 202)","(557, 184)",1.46,-17.123,12.329,
112,omon2_down_04.avi,Gecko,omon2,131,100,FR,43,53,48,"(531, 202)","(550, 220)",1.43,-13.287,-12.587,
113,omon2_up_01.avi,Gecko,omon2,342,100,FL,64,167,116,"(532, 202)","(526, 199)",1.45,4.138,2.069,
114,omon2_up_02.avi,Gecko,omon2,444,100,FR,97,182,140,"(531, 202)","(526, 225)",1.49,3.356,-15.436,
115,omon3_down_12.avi,Gecko,omon3,370,100,HR,144,244,194,"(534, 206)","(539, 190)",1.5,-3.333,10.667,
116,omon3_down_14.avi,Gecko,omon3,607,100,HR,248,479,364,"(532, 204)","(547, 224)",1.49,-10.067,-13.423,
117,omon3_down_15.avi,Gecko,omon3,720,100,FL,64,158,111,"(530, 203)","(559, 231)",1.51,-19.205,-18.543,not all toes on forceplate
118,omon3_up_11.avi,Gecko,omon3,391,100,FL,160,215,188,"(532, 205)","(515, 187)",1.51,11.258,11.921,
119,omon3_up_13.avi,Gecko,omon3,607,100,HL,182,321,252,"(533, 198)","(522, 176)",1.35,8.148,16.296,not all toes on forceplate
120,omon4_down_01.avi,Gecko,omon4,97,100,HL,29,43,36,"(533, 202)","(501, 211)",1.4,22.857,-6.429,not all toes on forceplate
121,omon4_down_03.avi,Gecko,omon4,617,100,,,,,"(nan, nan)","(nan, nan)",,,,
122,omon4_up_02.avi,Gecko,omon4,724,100,,,,,"(nan, nan)","(nan, nan)",,,,
123,omon5_down_09.avi,Gecko,omon5,275,100,HR,140,145,142,"(530, 202)","(548, 211)",1.39,-12.95,-6.475,"dragging foot, not really placing it"
124,omon5_down_12.avi,Gecko,omon5,537,100,,,,,"(nan, nan)","(nan, nan)",,,,
125,omon5_down_13.avi,Gecko,omon5,475,100,FL,66,133,100,"(530, 202)","(546, 217)",1.48,-10.811,-10.135,
126,omon5_up_08.avi,Gecko,omon5,457,100,,,,,"(nan, nan)","(nan, nan)",,,,
127,omon5_up_10.avi,Gecko,omon5,425,100,,,,,"(nan, nan)","(nan, nan)",,,,
128,omon5_up_11.avi,Gecko,omon5,414,100,,,,,"(nan, nan)","(nan, nan)",,,,
129,omon6_down_13.avi,Gecko,omon6,457,100,HR,287,351,319,"(530, 201)","(549, 188)",1.47,-12.925,8.844,
130,omon6_down_14.avi,Gecko,omon6,319,100,HR,159,226,192,"(531, 202)","(550, 206)",1.44,-13.194,-2.778,
131,omon6_down_15.avi,Gecko,omon6,371,100,FL,152,226,189,"(530, 200)","(544, 197)",1.45,-9.655,2.069,
132,omon6_up_12.avi,Gecko,omon6,885,100,,,,,"(nan, nan)","(nan, nan)",,,,
133,omon7_down_07.avi,Gecko,omon7,125,100,FR,11,38,24,"(530, 201)","(560, 196)",1.39,-21.583,3.597,not all toes on forceplate
134,omon7_down_08.avi,Gecko,omon7,288,100,HR,23,115,69,"(530, 200)","(528, 212)",1.43,1.399,-8.392,paused on forceplate
135,omon7_up_06.avi,Gecko,omon7,221,100,FL,8,75,42,"(532, 202)","(513, 206)",1.4,13.571,-2.857,
136,omon7_up_09.avi,Gecko,omon7,564,100,HL,298,479,388,"(530, 202)","(536, 216)",1.44,-4.167,-9.722,
137,omon8_down_02.avi,Gecko,omon8,244,100,,,,,"(nan, nan)","(nan, nan)",,,,
138,omon8_down_03.avi,Gecko,omon8,689,100,HR,344,544,444,"(535, 192)","(513, 182)",1.43,15.385,6.993,
139,omon8_down_04.avi,Gecko,omon8,337,100,HR,97,235,166,"(536, 194)","(522, 215)",1.44,9.722,-14.583,
140,omon8_up_01.avi,Gecko,omon8,486,100,FR,116,277,196,"(534, 191)","(517, 216)",1.45,11.724,-17.241,
141,omon9_down_02.avi,Gecko,omon9,226,100,HR,115,140,128,"(533, 197)","(601, 170)",1.46,-46.575,18.493,
142,omon9_down_04.avi,Gecko,omon9,148,100,HR,87,99,93,"(538, 194)","(537, 206)",1.49,0.671,-8.054,
143,omon9_down_06.avi,Gecko,omon9,182,100,HR,116,125,120,"(536, 190)","(551, 198)",1.43,-10.49,-5.594,
144,omon9_down_08.avi,Gecko,omon9,172,100,HR,89,103,96,"(533, 192)","(515, 185)",1.44,12.5,4.861,
145,omon9_down_09.avi,Gecko,omon9,129,100,FR,49,58,54,"(536, 194)","(527, 181)",1.46,6.164,8.904,
146,omon9_down_09.avi,Gecko,omon9,129,100,HR,60,70,65,"(536, 194)","(551, 184)",1.48,-10.135,6.757,
147,omon9_up_01.avi,Gecko,omon9,199,100,FR,53,85,69,"(532, 195)","(538, 218)",1.47,-4.082,-15.646,
148,omon9_up_01.avi,Gecko,omon9,199,100,HR,83,121,102,"(532, 195)","(504, 227)",1.47,19.048,-21.769,not all toes on forceplate
149,omon9_up_03.avi,Gecko,omon9,255,100,FL,43,89,66,"(534, 190)","(507, 207)",1.37,19.708,-12.409,
150,omon9_up_05.avi,Gecko,omon9,262,100,,,,,"(nan, nan)","(nan, nan)",,,,
151,omon9_up_07.avi,Gecko,omon9,405,100,FR,162,214,188,"(533, 190)","(538, 187)",1.44,-3.472,2.083,has HR on forceplate when lifting FR
