,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes,mean_body_deflection
30,skrys11_down_04.avi,skrys11_down_04.txt,Gecko,skrys11,249,100,HR,42,131,86,"(530, 200)","(512, 176)",1.32,13.636,18.182,"very sticky gecko, paused step on forceplate",15.35
31,skrys11_down_06.avi,skrys11_down_06.txt,Gecko,skrys11,376,100,HR,139,263,201,"(530, 198)","(546, 214)",1.4,-11.429,-11.429,"very sticky gecko, paused step on forceplate",20.2
32,skrys11_down_07.avi,skrys11_down_07.txt,Gecko,skrys11,366,100,FR,29,58,44,"(528, 199)","(542, 177)",1.33,-10.526,16.541,"very sticky gecko, paused step on forceplate",10
33,skrys11_up_01.avi,skrys11_up_01.txt,Gecko,skrys11,242,100,FR,30,62,46,"(530, 199)","(499, 196)",1.37,22.628,2.19,very sticky gecko,2.29
34,skrys11_up_03.avi,skrys11_up_03.txt,Gecko,skrys11,332,100,HL,159,205,182,"(530, 199)","(529, 177)",1.36,0.735,16.176,"very sticky gecko, also has FL footfall on forceplate before",7.52
35,skrys11_up_05.avi,skrys11_up_05.txt,Gecko,skrys11,425,100,FL,42,170,106,"(532, 198)","(540, 207)",1.32,-6.061,-6.818,"very sticky gecko, paused step on forceplate",8.86
36,skrys11_up_08.avi,skrys11_up_08.txt,Gecko,skrys11,301,100,FL,51,81,66,"(529, 199)","(501, 175)",1.36,20.588,17.647,very sticky gecko,9.88
37,skrys11_up_09.avi,skrys11_up_09.txt,Gecko,skrys11,310,100,HR,142,176,159,"(532, 198)","(537, 205)",1.44,-3.472,-4.861,"very sticky gecko, also has FR footfall on forceplate before",7.53
38,skrys1_down_03.avi,skrys1_down_03.txt,Gecko,skrys1,466,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
39,skrys1_down_04.avi,skrys1_down_04.txt,Gecko,skrys1,400,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
40,skrys1_down_06.avi,skrys1_down_06.txt,Gecko,skrys1,211,100,HR,88,158,123,"(532, 200)","(529, 194)",1.3,2.308,4.615,"very sticky gecko, paused step on forceplate",5.24
41,skrys1_down_07.avi,skrys1_down_07.txt,Gecko,skrys1,331,100,FR,95,205,150,"(534, 202)","(536, 218)",1.35,-1.481,-11.852,"very sticky gecko, paused step on forceplate",10.22
42,skrys1_down_08.avi,skrys1_down_08.txt,Gecko,skrys1,477,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
