,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes
44,limac8_up_05.avi,limac8_up_05.txt,Gecko,limac8,254,100,FL,94,111,102,"(528, 204)","(508, 186)",1.38,14.493,13.043,also has HL and HR footfall on forceplate just on the edge
45,limac8_up_06.avi,limac8_up_06.txt,Gecko,limac8,289,100,FL,153,173,163,"(527, 206)","(542, 219)",1.43,-10.49,-9.091,also has HL footfall on forceplate after
46,limac8_up_07.avi,limac8_up_07.txt,Gecko,limac8,226,100,HR,106,131,118,"(528, 205)","(536, 230)",1.37,-5.839,-18.248,also has other feet on forceplate but never alone
47,limac8_up_08.avi,limac8_up_08.txt,Gecko,limac8,249,100,FR,54,69,62,"(528, 203)","(541, 205)",1.4,-9.286,-1.429,also has HR footfall on forceplate after
48,limac8_up_09.avi,limac8_up_09.txt,Gecko,limac8,261,100,HL,127,161,144,"(527, 205)","(514, 186)",1.38,9.42,13.768,"also has FL footfall on forceplate before, HR on forceplate when HL lifts"
49,limac8_up_10.avi,limac8_up_10.txt,Gecko,limac8,303,100,HR,133,160,146,"(526, 202)","(547, 229)",1.38,-15.217,-19.565,also has other feet on forceplate but never alone
50,limac9_up_01.avi,limac9_up_01.txt,Gecko,limac9,2048,250,,,,,"(nan, nan)","(nan, nan)",,,,always pausing
51,limac9_up_02.avi,limac9_up_02.txt,Gecko,limac9,700,250,FR,42,77,60,"(532, 204)","(545, 178)",1.39,-9.353,18.705,
52,limac9_up_03.avi,limac9_up_03.txt,Gecko,limac9,1385,250,HR,637,1163,900,"(533, 204)","(548, 198)",1.45,-10.345,4.138,paused on forceplate
53,limac9_up_04.avi,limac9_up_04.txt,Gecko,limac9,852,250,FR,349,451,400,"(532, 204)","(539, 205)",1.43,-4.895,-0.699,also has HR footfall on forceplate after
54,limac9_up_05.avi,limac9_up_05.txt,Gecko,limac9,317,100,,,,,"(nan, nan)","(nan, nan)",,,,paused on forceplate
55,limac9_up_06.avi,limac9_up_06.txt,Gecko,limac9,117,100,FL,8,16,12,"(532, 204)","(543, 191)",1.45,-7.586,8.966,super fast 
56,limac9_up_07.avi,limac9_up_07.txt,Gecko,limac9,265,100,HR,87,174,130,"(532, 202)","(530, 218)",1.44,1.389,-11.111,paused on forceplate
57,limac9_up_08.avi,limac9_up_08.txt,Gecko,limac9,431,100,,,,,"(nan, nan)","(nan, nan)",,,,always pausing
58,limac9_up_09.avi,limac9_up_09.txt,Gecko,limac9,325,100,,,,,"(nan, nan)","(nan, nan)",,,, all feet on forceplate but always pausing
