filename	 foot	 direction	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ
Gecko 14 run 22 2018-09-12_000000.avi	 fore	 up	 0.024992	 0.021427	 0.007149	 0.001125	 0.000964	 0.000322	 -0.001052	 -0.000822	 -0.008894	 0.051165	 0.050997	 0.013687
Gecko 14 run 23 2018-09-12_000000.avi	 hind	 up	 -0.005185	 0.025185	 -0.004822	 -0.000293	 0.001426	 -0.000273	 -0.014340	 -0.003990	 -0.007756	 0.004041	 0.051824	 -0.000698
Gecko 14 run 24 2018-09-12_000000.avi	 hind	 up	 0.002571	 0.021589	 -0.001709	 0.000137	 0.001157	 -0.000092	 -0.006176	 -0.002584	 -0.003359	 0.009759	 0.038862	 0.000028
Gecko_16_run1_2018-09-17_000000.avi	 fore	 down	 0.000673	 0.007774	 -0.003622	 0.000021	 0.000245	 -0.000114	 -0.004365	 0.000216	 -0.007085	 0.004245	 0.013666	 -0.000063
Gecko_16_run1_2018-09-17_000000.avi	 hind	 down	 0.022899	 0.029956	 0.002915	 0.000657	 0.000860	 0.000084	 0.002276	 0.001433	 -0.003140	 0.034251	 0.046690	 0.006716
Gecko_16_run2_2018-09-17_000000.avi	 fore	 down	 -0.029649	 0.005421	 0.004181	 -0.000700	 0.000127	 0.000098	 -0.071669	 -0.009803	 -0.024749	 0.026894	 0.032440	 0.017153
Gecko_16_run2_2018-09-17_000000.avi	 hind	 down	 -0.019189	 0.042308	 0.005928	 -0.000501	 0.001103	 0.000155	 -0.044889	 0.005815	 -0.013140	 0.011310	 0.065678	 0.015635
Gecko_16_run3_2018-09-17_000000.avi	 hind	 up	 0.005904	 0.019290	 -0.000411	 0.000434	 0.001416	 -0.000030	 -0.010350	 -0.005981	 -0.004882	 0.018159	 0.035348	 0.001706
Gecko_16_run4_2018-09-17_000000.avi	 hind	 down	 -0.007607	 0.031420	 0.002615	 -0.000524	 0.002165	 0.000180	 -0.018215	 0.000425	 -0.001809	 0.001112	 0.054221	 0.005196
Gecko_16_run5_2018-09-17_000000.avi	 hind	 down	 0.034920	 0.032473	 0.003180	 0.001142	 0.001062	 0.000104	 -0.000753	 -0.000895	 -0.000642	 0.054946	 0.051413	 0.007833
