,filename,MeanX,MeanY,MeanZ,IntergralX,IntergralY,IntergralZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,foot,foot2,direction,footfall_begin,footfall_end,individual,bodymass,SVL,TL,MeanX_rel,MeanY_rel,MeanZ_rel,MeanXY,MeanXY_rel,dirMeanXY_rel
20,hfren11_run_17.avi,0.011198,0.012439,0.003228,0.000655,0.000728,0.000189,-0.000897,-0.000949,-0.004336,0.021388,0.026693,0.00633, FR,fore,down,57,72,hfren11,2.75,426,447.1,0.004072,0.004523273,0.001173818,0.023637,0.008595273,41.99459164
22,hfren11_run_19.avi,0.015339,0.015845,0.003234,0.00087,0.000898,0.000183,-0.000781,-0.000692,-0.003662,0.026882,0.03212,0.007557, FR,fore,up,57,71,hfren11,2.75,426,447.1,0.005577818,0.005761818,0.001176,0.031184,0.011339636,44.0703848
26,hfren13_run_01.avi,0.016787,0.009912,-0.00081,0.000225,0.000133,-1.10E-05,-0.018334,-0.02526,-0.027788,0.045262,0.025622,0.008104, FR,fore,up,39,42,hfren13,3.25,419,316.05,0.005165231,0.003049846,-0.000249231,0.026699,0.008215077,59.43998022
30,hfren13_run_04.avi,0.005627,0.00622,-0.004548,0.000166,0.000184,-0.000134,-0.00068,-0.001654,-0.01297,0.013967,0.018521,0.001192, FR,fore,down,34,41,hfren13,3.25,419,316.05,0.001731385,0.001913846,-0.001399385,0.011847,0.003645231,42.13445902
33,hfren13_run_06.avi,0.007021,0.008131,-0.004175,0.000229,0.000265,-0.000136,-0.00213,7.70E-05,-0.009762,0.013658,0.019951,0.000664, FR,fore,down,32,41,hfren13,3.25,419,316.05,0.002160308,0.002501846,-0.001284615,0.015152,0.004662154,40.81013005
39,hfren13_run_09.avi,0.002057,0.005627,-0.004754,5.90E-05,0.000162,-0.000137,-0.004795,-0.000109,-0.011813,0.012179,0.021759,-5.40E-05, FR,fore,down,36,43,hfren13,3.25,419,316.05,0.000632923,0.001731385,-0.001462769,0.007684,0.002364308,20.08033563
41,hfren13_run_10.avi,0.002318,0.005475,-0.002528,7.90E-05,0.000187,-8.60E-05,-0.005217,-0.001522,-0.008714,0.023275,0.028695,0.001412, FR,fore,down,28,36,hfren13,3.25,419,316.05,0.000713231,0.001684615,-0.000777846,0.007793,0.002397846,22.94677871
47,hfren13_run_13.avi,0.006094,0.008317,-0.004143,0.000196,0.000267,-0.000133,-0.003085,8.80E-05,-0.016854,0.043311,0.026426,-7.00E-06, FR,fore,down,42,50,hfren13,3.25,419,316.05,0.001875077,0.002559077,-0.001274769,0.014411,0.004434154,36.23083446
62,hfren14_run_02.avi,-0.005175,0.007084,-0.003503,-0.000159,0.000218,-0.000108,-0.019482,-0.002171,-0.017884,0.012588,0.033905,0.001766, FR,fore,down,29,37,hfren14,3.87,463,319.5,-0.001337209,0.001830491,-0.000905168,0.001909,0.000493282,-36.14885616
64,hfren14_run_03.avi,0.002714,0.008508,-0.004133,9.00E-05,0.000281,-0.000136,-0.018224,-0.002905,-0.023228,0.035535,0.050404,0.002962, FR,fore,down,26,34,hfren14,3.87,463,319.5,0.000701292,0.00219845,-0.001067959,0.011222,0.002899742,17.69236503
66,hfren14_run_04.avi,0.029915,0.019029,0.007624,0.001116,0.00071,0.000285,-0.001716,-0.005768,-0.007279,0.064631,0.050473,0.01653, FR,fore,up,41,50,hfren14,3.87,463,319.5,0.007729974,0.004917054,0.001970026,0.048944,0.012647028,57.53946697
