filename	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ	 foot	 direction	 footfall_begin	 footfall_end
hfren13_run_07.avi	 -0.005210	 0.003707	 0.001632	 -0.000152	 0.000108	 0.000048	 -0.012696	 -0.003030	 -0.003520	 0.001275	 0.012917	 0.007507	 FL	 up	 42	 49
hfren13_run_07.avi	 -0.011877	 -0.004770	 -0.000007	 -0.000444	 -0.000178	 -0.000000	 -0.033199	 -0.010775	 -0.009103	 0.002060	 -0.000420	 0.002452	 HL	 up	 50	 59
hfren13_run_08.avi	 -0.007341	 0.003683	 0.002590	 -0.000256	 0.000128	 0.000090	 -0.023878	 -0.001137	 -0.006389	 0.001943	 0.009292	 0.008904	 FL	 up	 32	 41
hfren13_run_08.avi	 0.001451	 0.004820	 -0.000369	 0.000055	 0.000184	 -0.000014	 -0.001806	 -0.002833	 -0.004594	 0.003082	 0.016491	 0.002883	 HL	 up	 41	 51
hfren13_run_09.avi	 0.002057	 0.005627	 -0.004754	 0.000059	 0.000162	 -0.000137	 -0.004795	 -0.000109	 -0.011813	 0.012179	 0.021759	 -0.000054	 FR	 down	 36	 43
hfren13_run_09.avi	 -0.017214	 0.018590	 0.003176	 -0.000709	 0.000766	 0.000131	 -0.045247	 -0.002173	 -0.002104	 0.002334	 0.044388	 0.007919	 HR	 down	 42	 52
hfren13_run_10.avi	 0.002318	 0.005475	 -0.002528	 0.000079	 0.000187	 -0.000086	 -0.005217	 -0.001522	 -0.008714	 0.023275	 0.028695	 0.001412	 FR	 down	 28	 36
hfren13_run_10.avi	 -0.023350	 0.018999	 0.003610	 -0.000876	 0.000713	 0.000135	 -0.056753	 -0.004216	 -0.004492	 0.003081	 0.047485	 0.007980	 HR	 down	 36	 46
hfren13_run_11.avi	 -0.011275	 0.000079	 0.001121	 -0.000362	 0.000003	 0.000036	 -0.037910	 -0.016545	 -0.014863	 0.000816	 0.008592	 0.009801	 FL	 up	 28	 36
hfren13_run_11.avi	 0.000052	 0.003786	 -0.002495	 0.000002	 0.000122	 -0.000080	 -0.001379	 -0.002906	 -0.007806	 0.001499	 0.008290	 -0.000563	 HL	 up	 37	 45
hfren13_run_12.avi	 -0.004502	 0.006287	 -0.004372	 -0.000144	 0.000201	 -0.000139	 -0.017886	 -0.003179	 -0.017211	 0.006463	 0.016583	 0.002548	 FL	 down	 27	 35
hfren13_run_12.avi	 0.027947	 0.031791	 0.003374	 0.000944	 0.001075	 0.000114	 0.000468	 -0.003281	 -0.004829	 0.060477	 0.072173	 0.011813	 HL	 down	 35	 43
hfren13_run_13.avi	 0.006094	 0.008317	 -0.004143	 0.000196	 0.000267	 -0.000133	 -0.003085	 0.000088	 -0.016854	 0.043311	 0.026426	 -0.000007	 FR	 down	 42	 50
hfren13_run_13.avi	 -0.012548	 0.015872	 0.002831	 -0.000497	 0.000629	 0.000112	 -0.032818	 -0.002932	 -0.002179	 0.002396	 0.034087	 0.006874	 HR	 down	 50	 59
hfren13_run_14.avi	 -0.003919	 0.008689	 0.002770	 -0.000119	 0.000263	 0.000084	 -0.011121	 -0.001007	 -0.003858	 0.000264	 0.022088	 0.010032	 FL	 up	 36	 44
hfren13_run_14.avi	 0.000796	 0.004444	 -0.000207	 0.000028	 0.000157	 -0.000007	 -0.002683	 -0.001984	 -0.005215	 0.006712	 0.012944	 0.002642	 HL	 up	 45	 54
hfren13_run_15.avi	 0.002135	 0.010951	 -0.006033	 0.000078	 0.000400	 -0.000220	 -0.005225	 -0.000658	 -0.032356	 0.016488	 0.049180	 0.001652	 FL	 down	 34	 43
hfren13_run_15.avi	 0.017270	 0.021273	 0.001014	 0.000807	 0.000994	 0.000047	 -0.001530	 -0.001579	 -0.003223	 0.044383	 0.051452	 0.005726	 HL	 down	 43	 54
hfren13_run_18.avi	 -0.012207	 -0.002496	 0.003084	 -0.000604	 -0.000123	 0.000153	 -0.022898	 -0.006470	 -0.002593	 -0.000607	 0.000179	 0.006360	 FL	 up	 25	 37
hfren13_run_18.avi	 0.001522	 0.009031	 -0.001046	 0.000087	 0.000514	 -0.000059	 -0.012316	 -0.004692	 -0.005121	 0.010258	 0.023101	 0.002736	 HL	 up	 38	 52
hfren13_run_19.avi	 0.008704	 0.013241	 -0.003171	 0.000560	 0.000851	 -0.000204	 -0.002248	 -0.005325	 -0.006290	 0.020569	 0.030047	 -0.000247	 HL	 up	 47	 63
hfren13_run_20.avi	 0.000427	 0.004571	 -0.002893	 0.000019	 0.000198	 -0.000126	 -0.004122	 -0.000176	 -0.012302	 0.005339	 0.016381	 0.001110	 FL	 down	 34	 45
hfren13_run_20.avi	 0.014150	 0.014641	 0.000604	 0.000729	 0.000754	 0.000031	 -0.001068	 -0.002995	 -0.001487	 0.044268	 0.045284	 0.004084	 HL	 down	 44	 57
hfren13_run_22.avi	 0.001080	 0.021226	 0.003426	 0.000065	 0.001266	 0.000205	 -0.008331	 -0.011242	 -0.010174	 0.005770	 0.034801	 0.006515	 FL	 up	 71	 85
hfren13_run_22.avi	 0.014669	 0.019188	 -0.004208	 0.000838	 0.001097	 -0.000240	 -0.007408	 -0.026859	 -0.014282	 0.033306	 0.048297	 -0.001383	 HL	 up	 86	 100
hfren14_run_01.avi	 0.010843	 0.012309	 -0.004216	 0.000234	 0.000266	 -0.000091	 -0.017237	 -0.006821	 -0.048344	 0.037417	 0.046710	 0.007455	 FL	 down	 28	 34
hfren14_run_01.avi	 0.035815	 0.029873	 0.003435	 0.001063	 0.000887	 0.000102	 -0.001487	 0.000759	 -0.007536	 0.071049	 0.061074	 0.010758	 HL	 down	 34	 41
hfren14_run_02.avi	 -0.005175	 0.007084	 -0.003503	 -0.000159	 0.000218	 -0.000108	 -0.019482	 -0.002171	 -0.017884	 0.012588	 0.033905	 0.001766	 FR	 down	 29	 37
hfren14_run_02.avi	 -0.003124	 0.019479	 -0.000240	 -0.000107	 0.000668	 -0.000008	 -0.019012	 -0.002411	 -0.009846	 0.004266	 0.045062	 0.004974	 HR	 down	 36	 45
hfren14_run_03.avi	 0.002714	 0.008508	 -0.004133	 0.000090	 0.000281	 -0.000136	 -0.018224	 -0.002905	 -0.023228	 0.035535	 0.050404	 0.002962	 FR	 down	 26	 34
hfren14_run_03.avi	 -0.000297	 0.020510	 0.000406	 -0.000009	 0.000652	 0.000013	 -0.011439	 -0.002821	 -0.005340	 0.009814	 0.047066	 0.008887	 HR	 down	 34	 41
hfren14_run_04.avi	 0.029915	 0.019029	 0.007624	 0.001116	 0.000710	 0.000285	 -0.001716	 -0.005768	 -0.007279	 0.064631	 0.050473	 0.016530	 FR	 up	 41	 50
hfren14_run_04.avi	 0.007286	 0.031684	 -0.006351	 0.000303	 0.001318	 -0.000264	 -0.001959	 -0.005709	 -0.008616	 0.018437	 0.062753	 0.000526	 HR	 up	 50	 60
hfren14_run_05.avi	 0.035994	 0.016468	 0.004617	 0.001198	 0.000548	 0.000154	 -0.002421	 -0.006298	 -0.014789	 0.080265	 0.041542	 0.014168	 FR	 up	 35	 43
hfren14_run_05.avi	 -0.001112	 0.029770	 -0.003959	 -0.000042	 0.001134	 -0.000151	 -0.012381	 -0.002288	 -0.007384	 0.008717	 0.063030	 -0.000585	 HR	 up	 43	 52
hfren14_run_06.avi	 0.001787	 0.004704	 -0.003308	 0.000067	 0.000176	 -0.000123	 -0.007424	 -0.003523	 -0.022939	 0.011037	 0.024998	 0.003509	 FL	 down	 30	 39
hfren14_run_07.avi	 0.002998	 0.016342	 -0.001701	 0.000131	 0.000716	 -0.000074	 -0.005159	 -0.001351	 -0.004300	 0.015201	 0.032596	 0.000576	 HR	 up	 41	 52
hfren14_run_08.avi	 0.010575	 0.016205	 -0.005520	 0.000403	 0.000618	 -0.000210	 -0.007235	 -0.003042	 -0.025037	 0.024847	 0.035222	 0.005415	 FL	 down	 38	 47
hfren14_run_08.avi	 0.022128	 0.026575	 0.004755	 0.000843	 0.001013	 0.000181	 -0.002485	 -0.002116	 -0.002643	 0.041245	 0.053507	 0.011468	 HL	 down	 47	 57
hfren14_run_10.avi	 -0.009802	 0.013450	 0.005852	 -0.000411	 0.000564	 0.000245	 -0.019830	 -0.005671	 -0.006070	 0.000263	 0.033313	 0.013278	 FL	 up	 47	 58
hfren14_run_10.avi	 0.014755	 0.021666	 -0.006202	 0.000728	 0.001069	 -0.000306	 -0.005622	 -0.007394	 -0.010093	 0.040884	 0.051827	 0.000867	 HL	 up	 58	 70
hfren14_run_11.avi	 0.003332	 0.009857	 -0.007093	 0.000099	 0.000292	 -0.000210	 -0.004958	 -0.000122	 -0.030007	 0.021788	 0.040513	 0.000332	 FR	 down	 35	 42
hfren14_run_11.avi	 -0.002892	 0.029598	 0.000991	 -0.000104	 0.001066	 0.000036	 -0.015805	 -0.003292	 -0.008577	 0.007764	 0.066165	 0.009846	 HR	 down	 42	 51
hfren14_run_12.avi	 0.023996	 0.023397	 0.006107	 0.001332	 0.001298	 0.000339	 -0.001358	 -0.002169	 -0.012967	 0.044485	 0.051814	 0.010904	 FR	 up	 62	 76
hfren14_run_13.avi	 -0.000094	 0.008830	 -0.008716	 -0.000003	 0.000284	 -0.000280	 -0.024685	 -0.006467	 -0.043950	 0.031231	 0.036368	 0.005155	 FL	 down	 33	 41
hfren14_run_13.avi	 0.018340	 0.017359	 0.003349	 0.000649	 0.000615	 0.000119	 -0.003623	 -0.002709	 -0.008123	 0.042826	 0.039791	 0.011711	 HL	 down	 41	 50
hfren14_run_15.avi	 0.000308	 0.008020	 -0.003457	 0.000012	 0.000308	 -0.000133	 -0.023686	 -0.000754	 -0.012904	 0.017977	 0.021285	 0.001783	 FL	 down	 44	 53
hfren14_run_15.avi	 0.018708	 0.026532	 0.002311	 0.000707	 0.001003	 0.000087	 -0.001324	 -0.000754	 -0.001485	 0.042536	 0.052850	 0.007523	 HL	 down	 53	 63
hfren14_run_16.avi	 0.001903	 0.009442	 -0.006442	 0.000071	 0.000354	 -0.000241	 -0.004447	 -0.000152	 -0.023117	 0.013815	 0.021390	 0.000667	 FR	 down	 36	 46
hfren14_run_16.avi	 -0.002798	 0.033803	 0.001966	 -0.000098	 0.001180	 0.000069	 -0.015071	 -0.001334	 -0.006099	 0.009934	 0.057625	 0.014145	 HR	 down	 46	 54
hfren14_run_17.avi	 0.014322	 0.024169	 -0.006790	 0.000846	 0.001429	 -0.000401	 -0.006871	 -0.009106	 -0.010683	 0.039319	 0.065642	 0.000330	 HL	 up	 80	 94
